Date,Price,Open,High,Low,Change %
"Aug 09, 1983",413,413,413,413,1.10%
"Aug 08, 1983",408.5,408.5,408.5,408.5,-0.29%
"Aug 05, 1983",409.7,409.7,409.7,409.7,-1.04%
"Aug 04, 1983",414,414,414,414,0.73%
"Aug 03, 1983",411,411,411,411,-0.77%
"Aug 02, 1983",414.2,414.2,414.2,414.2,0.73%
"Aug 01, 1983",411.2,411.2,411.2,411.2,-2.56%
"Jul 29, 1983",422,422,422,422,-0.82%
"Jul 28, 1983",425.5,425.5,425.5,425.5,-0.16%
"Jul 27, 1983",426.2,426.2,426.2,426.2,0.16%
"Jul 26, 1983",425.5,425.5,425.5,425.5,0.83%
"Jul 25, 1983",422,422,422,422,-0.35%
"Jul 22, 1983",423.5,423.5,423.5,423.5,-1.44%
"Jul 21, 1983",429.7,429.7,429.7,429.7,0.35%
"Jul 20, 1983",428.2,428.2,428.2,428.2,1.06%
"Jul 19, 1983",423.7,423.7,423.7,423.7,0.31%
"Jul 18, 1983",422.4,422.4,422.4,422.4,0.05%
"Jul 15, 1983",422.2,422.2,422.2,422.2,-0.94%
"Jul 14, 1983",426.2,426.2,426.2,426.2,-0.23%
"Jul 13, 1983",427.2,427.2,427.2,427.2,-0.42%
"Jul 12, 1983",429,429,429,429,-0.35%
"Jul 11, 1983",430.5,430.5,430.5,430.5,1.06%
"Jul 08, 1983",426,426,426,426,3.35%
"Jul 07, 1983",412.2,412.2,412.2,412.2,0.15%
"Jul 06, 1983",411.6,411.6,411.6,411.6,0.22%
"Jul 05, 1983",410.7,410.7,410.7,410.7,-1.32%
"Jul 01, 1983",416.2,416.2,416.2,416.2,0.05%
"Jun 30, 1983",416,416,416,416,0.29%
"Jun 29, 1983",414.8,414.8,414.8,414.8,-0.29%
"Jun 28, 1983",416,416,416,416,-0.83%
"Jun 27, 1983",419.5,419.5,419.5,419.5,-0.94%
"Jun 24, 1983",423.5,423.5,423.5,423.5,0.71%
"Jun 23, 1983",420.5,420.5,420.5,420.5,0.00%
"Jun 22, 1983",420.5,420.5,420.5,420.5,1.40%
"Jun 21, 1983",414.7,414.7,414.7,414.7,-0.24%
"Jun 20, 1983",415.7,415.7,415.7,415.7,0.05%
"Jun 17, 1983",415.5,415.5,415.5,415.5,0.73%
"Jun 16, 1983",412.5,412.5,412.5,412.5,1.05%
"Jun 15, 1983",408.2,408.2,408.2,408.2,0.07%
"Jun 14, 1983",407.9,407.9,407.9,407.9,-1.23%
"Jun 13, 1983",413,413,413,413,0.44%
"Jun 10, 1983",411.2,411.2,411.2,411.2,0.86%
"Jun 09, 1983",407.7,407.7,407.7,407.7,1.17%
"Jun 08, 1983",403,403,403,403,0.70%
"Jun 07, 1983",400.2,400.2,400.2,400.2,-1.84%
"Jun 06, 1983",407.7,407.7,407.7,407.7,-0.92%
"Jun 03, 1983",411.5,411.5,411.5,411.5,-0.24%
"Jun 02, 1983",412.5,412.5,412.5,412.5,0.61%
"Jun 01, 1983",410,410,410,410,-6.29%
"May 31, 1983",437.5,437.5,437.5,437.5,0.07%
"May 27, 1983",437.2,437.2,437.2,437.2,-0.64%
"May 26, 1983",440,440,440,440,-0.38%
"May 25, 1983",441.7,441.7,441.7,441.7,1.12%
"May 24, 1983",436.8,436.8,436.8,436.8,0.95%
"May 23, 1983",432.7,432.7,432.7,432.7,-1.37%
"May 20, 1983",438.7,438.7,438.7,438.7,-0.88%
"May 19, 1983",442.6,442.6,442.6,442.6,-0.02%
"May 18, 1983",442.7,442.7,442.7,442.7,0.45%
"May 17, 1983",440.7,440.7,440.7,440.7,1.03%
"May 16, 1983",436.2,436.2,436.2,436.2,-1.13%
"May 13, 1983",441.2,441.2,441.2,441.2,0.34%
"May 12, 1983",439.7,439.7,439.7,439.7,-0.74%
"May 11, 1983",443,443,443,443,-0.16%
"May 10, 1983",443.7,443.7,443.7,443.7,2.24%
"May 09, 1983",434,434,434,434,0.65%
"May 06, 1983",431.2,431.2,431.2,431.2,-0.58%
"May 05, 1983",433.7,433.7,433.7,433.7,0.23%
"May 04, 1983",432.7,432.7,432.7,432.7,-0.18%
"May 03, 1983",433.5,433.5,433.5,433.5,1.17%
"May 02, 1983",428.5,428.5,428.5,428.5,-0.16%
"Apr 29, 1983",429.2,429.2,429.2,429.2,0.16%
"Apr 28, 1983",428.5,428.5,428.5,428.5,-1.31%
"Apr 27, 1983",434.2,434.2,434.2,434.2,-0.30%
"Apr 26, 1983",435.5,435.5,435.5,435.5,-1.36%
"Apr 25, 1983",441.5,441.5,441.5,441.5,1.03%
"Apr 22, 1983",437,437,437,437,-0.57%
"Apr 21, 1983",439.5,439.5,439.5,439.5,1.34%
"Apr 20, 1983",433.7,433.7,433.7,433.7,-1.32%
"Apr 19, 1983",439.5,439.5,439.5,439.5,-0.79%
"Apr 18, 1983",443,443,443,443,1.49%
"Apr 15, 1983",436.5,436.5,436.5,436.5,0.23%
"Apr 14, 1983",435.5,435.5,435.5,435.5,1.47%
"Apr 13, 1983",429.2,429.2,429.2,429.2,-0.81%
"Apr 12, 1983",432.7,432.7,432.7,432.7,1.41%
"Apr 11, 1983",426.7,426.7,426.7,426.7,1.31%
"Apr 08, 1983",421.2,421.2,421.2,421.2,-1.06%
"Apr 07, 1983",425.7,425.7,425.7,425.7,-0.65%
"Apr 06, 1983",428.5,428.5,428.5,428.5,0.42%
"Apr 05, 1983",426.7,426.7,426.7,426.7,2.33%
"Apr 04, 1983",417,417,417,417,0.55%
